,Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
1,Addis Ababa Central,PM2.5 - Principal,2018-01-04 11:00:00,2018,1,4,11,46.6,128,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
2,Addis Ababa Central,PM2.5 - Principal,2018-01-04 12:00:00,2018,1,4,12,37.7,106,Unhealthy for Sensitive Groups,30.0,UG/M3,1 Hr,Valid
3,Addis Ababa Central,PM2.5 - Principal,2018-01-04 13:00:00,2018,1,4,13,30.4,89,Moderate,25.0,UG/M3,1 Hr,Valid
4,Addis Ababa Central,PM2.5 - Principal,2018-01-04 14:00:00,2018,1,4,14,30.2,89,Moderate,30.0,UG/M3,1 Hr,Valid
5,Addis Ababa Central,PM2.5 - Principal,2018-01-04 15:00:00,2018,1,4,15,30.1,89,Moderate,30.0,UG/M3,1 Hr,Valid
6,Addis Ababa Central,PM2.5 - Principal,2018-01-04 16:00:00,2018,1,4,16,34.5,98,Moderate,39.0,UG/M3,1 Hr,Valid
7,Addis Ababa Central,PM2.5 - Principal,2018-01-04 17:00:00,2018,1,4,17,37.3,105,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
8,Addis Ababa Central,PM2.5 - Principal,2018-01-04 18:00:00,2018,1,4,18,38.1,107,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
9,Addis Ababa Central,PM2.5 - Principal,2018-01-04 19:00:00,2018,1,4,19,30.0,89,Moderate,22.0,UG/M3,1 Hr,Valid
10,Addis Ababa Central,PM2.5 - Principal,2018-01-04 20:00:00,2018,1,4,20,29.5,88,Moderate,29.0,UG/M3,1 Hr,Valid
11,Addis Ababa Central,PM2.5 - Principal,2018-01-04 21:00:00,2018,1,4,21,49.7,136,Unhealthy for Sensitive Groups,70.0,UG/M3,1 Hr,Valid
12,Addis Ababa Central,PM2.5 - Principal,2018-01-04 22:00:00,2018,1,4,22,54.8,149,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
13,Addis Ababa Central,PM2.5 - Principal,2018-01-04 23:00:00,2018,1,4,23,37.4,106,Unhealthy for Sensitive Groups,20.0,UG/M3,1 Hr,Valid
14,Addis Ababa Central,PM2.5 - Principal,2018-01-05 00:00:00,2018,1,5,0,42.2,117,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
15,Addis Ababa Central,PM2.5 - Principal,2018-01-05 01:00:00,2018,1,5,1,31.1,91,Moderate,20.0,UG/M3,1 Hr,Valid
16,Addis Ababa Central,PM2.5 - Principal,2018-01-05 02:00:00,2018,1,5,2,24.5,77,Moderate,18.0,UG/M3,1 Hr,Valid
17,Addis Ababa Central,PM2.5 - Principal,2018-01-05 03:00:00,2018,1,5,3,22.7,73,Moderate,21.0,UG/M3,1 Hr,Valid
18,Addis Ababa Central,PM2.5 - Principal,2018-01-05 04:00:00,2018,1,5,4,18.8,65,Moderate,15.0,UG/M3,1 Hr,Valid
19,Addis Ababa Central,PM2.5 - Principal,2018-01-05 05:00:00,2018,1,5,5,15.9,59,Moderate,13.0,UG/M3,1 Hr,Valid
20,Addis Ababa Central,PM2.5 - Principal,2018-01-05 06:00:00,2018,1,5,6,17.9,63,Moderate,20.0,UG/M3,1 Hr,Valid
21,Addis Ababa Central,PM2.5 - Principal,2018-01-05 07:00:00,2018,1,5,7,18.9,65,Moderate,20.0,UG/M3,1 Hr,Valid
22,Addis Ababa Central,PM2.5 - Principal,2018-01-05 08:00:00,2018,1,5,8,33.4,96,Moderate,48.0,UG/M3,1 Hr,Valid
23,Addis Ababa Central,PM2.5 - Principal,2018-01-05 09:00:00,2018,1,5,9,60.7,154,Unhealthy,88.0,UG/M3,1 Hr,Valid
24,Addis Ababa Central,PM2.5 - Principal,2018-01-05 10:00:00,2018,1,5,10,60.8,154,Unhealthy,61.0,UG/M3,1 Hr,Valid
25,Addis Ababa Central,PM2.5 - Principal,2018-01-05 11:00:00,2018,1,5,11,53.4,145,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
26,Addis Ababa Central,PM2.5 - Principal,2018-01-05 12:00:00,2018,1,5,12,40.7,114,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
27,Addis Ababa Central,PM2.5 - Principal,2018-01-05 13:00:00,2018,1,5,13,36.8,104,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
28,Addis Ababa Central,PM2.5 - Principal,2018-01-05 14:00:00,2018,1,5,14,31.9,93,Moderate,27.0,UG/M3,1 Hr,Valid
29,Addis Ababa Central,PM2.5 - Principal,2018-01-05 15:00:00,2018,1,5,15,28.4,85,Moderate,25.0,UG/M3,1 Hr,Valid
30,Addis Ababa Central,PM2.5 - Principal,2018-01-05 16:00:00,2018,1,5,16,23.7,75,Moderate,19.0,UG/M3,1 Hr,Valid
31,Addis Ababa Central,PM2.5 - Principal,2018-01-05 17:00:00,2018,1,5,17,25.8,80,Moderate,28.0,UG/M3,1 Hr,Valid
32,Addis Ababa Central,PM2.5 - Principal,2018-01-05 18:00:00,2018,1,5,18,25.4,79,Moderate,25.0,UG/M3,1 Hr,Valid
33,Addis Ababa Central,PM2.5 - Principal,2018-01-05 19:00:00,2018,1,5,19,25.2,79,Moderate,25.0,UG/M3,1 Hr,Valid
34,Addis Ababa Central,PM2.5 - Principal,2018-01-05 20:00:00,2018,1,5,20,24.1,76,Moderate,23.0,UG/M3,1 Hr,Valid
35,Addis Ababa Central,PM2.5 - Principal,2018-01-05 21:00:00,2018,1,5,21,37.0,105,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
36,Addis Ababa Central,PM2.5 - Principal,2018-01-05 22:00:00,2018,1,5,22,34.0,97,Moderate,31.0,UG/M3,1 Hr,Valid
37,Addis Ababa Central,PM2.5 - Principal,2018-01-05 23:00:00,2018,1,5,23,35.5,101,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
38,Addis Ababa Central,PM2.5 - Principal,2018-01-06 00:00:00,2018,1,6,0,31.7,92,Moderate,28.0,UG/M3,1 Hr,Valid
39,Addis Ababa Central,PM2.5 - Principal,2018-01-06 01:00:00,2018,1,6,1,34.8,99,Moderate,38.0,UG/M3,1 Hr,Valid
40,Addis Ababa Central,PM2.5 - Principal,2018-01-06 02:00:00,2018,1,6,2,33.4,96,Moderate,32.0,UG/M3,1 Hr,Valid
41,Addis Ababa Central,PM2.5 - Principal,2018-01-06 03:00:00,2018,1,6,3,35.2,100,Moderate,37.0,UG/M3,1 Hr,Valid
42,Addis Ababa Central,PM2.5 - Principal,2018-01-06 04:00:00,2018,1,6,4,31.1,91,Moderate,27.0,UG/M3,1 Hr,Valid
43,Addis Ababa Central,PM2.5 - Principal,2018-01-06 05:00:00,2018,1,6,5,31.5,92,Moderate,32.0,UG/M3,1 Hr,Valid
44,Addis Ababa Central,PM2.5 - Principal,2018-01-06 06:00:00,2018,1,6,6,38.2,108,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
45,Addis Ababa Central,PM2.5 - Principal,2018-01-06 07:00:00,2018,1,6,7,54.1,147,Unhealthy for Sensitive Groups,70.0,UG/M3,1 Hr,Valid
46,Addis Ababa Central,PM2.5 - Principal,2018-01-06 08:00:00,2018,1,6,8,71.5,159,Unhealthy,89.0,UG/M3,1 Hr,Valid
47,Addis Ababa Central,PM2.5 - Principal,2018-01-06 09:00:00,2018,1,6,9,104.3,176,Unhealthy,137.0,UG/M3,1 Hr,Valid
48,Addis Ababa Central,PM2.5 - Principal,2018-01-06 10:00:00,2018,1,6,10,88.1,168,Unhealthy,72.0,UG/M3,1 Hr,Valid
49,Addis Ababa Central,PM2.5 - Principal,2018-01-06 11:00:00,2018,1,6,11,67.0,157,Unhealthy,46.0,UG/M3,1 Hr,Valid
50,Addis Ababa Central,PM2.5 - Principal,2018-01-06 12:00:00,2018,1,6,12,50.5,138,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
51,Addis Ababa Central,PM2.5 - Principal,2018-01-06 13:00:00,2018,1,6,13,40.7,114,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
52,Addis Ababa Central,PM2.5 - Principal,2018-01-06 14:00:00,2018,1,6,14,35.3,100,Moderate,30.0,UG/M3,1 Hr,Valid
53,Addis Ababa Central,PM2.5 - Principal,2018-01-06 15:00:00,2018,1,6,15,32.6,94,Moderate,30.0,UG/M3,1 Hr,Valid
54,Addis Ababa Central,PM2.5 - Principal,2018-01-06 16:00:00,2018,1,6,16,33.3,96,Moderate,34.0,UG/M3,1 Hr,Valid
55,Addis Ababa Central,PM2.5 - Principal,2018-01-06 17:00:00,2018,1,6,17,35.1,99,Moderate,37.0,UG/M3,1 Hr,Valid
56,Addis Ababa Central,PM2.5 - Principal,2018-01-06 18:00:00,2018,1,6,18,33.5,96,Moderate,32.0,UG/M3,1 Hr,Valid
57,Addis Ababa Central,PM2.5 - Principal,2018-01-06 19:00:00,2018,1,6,19,36.2,103,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
58,Addis Ababa Central,PM2.5 - Principal,2018-01-06 20:00:00,2018,1,6,20,38.1,107,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
59,Addis Ababa Central,PM2.5 - Principal,2018-01-06 21:00:00,2018,1,6,21,48.0,132,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
60,Addis Ababa Central,PM2.5 - Principal,2018-01-06 22:00:00,2018,1,6,22,63.0,155,Unhealthy,78.0,UG/M3,1 Hr,Valid
61,Addis Ababa Central,PM2.5 - Principal,2018-01-06 23:00:00,2018,1,6,23,108.0,178,Unhealthy,153.0,UG/M3,1 Hr,Valid
62,Addis Ababa Central,PM2.5 - Principal,2018-01-07 00:00:00,2018,1,7,0,80.0,164,Unhealthy,52.0,UG/M3,1 Hr,Valid
63,Addis Ababa Central,PM2.5 - Principal,2018-01-07 01:00:00,2018,1,7,1,68.5,158,Unhealthy,57.0,UG/M3,1 Hr,Valid
64,Addis Ababa Central,PM2.5 - Principal,2018-01-07 02:00:00,2018,1,7,2,74.7,161,Unhealthy,81.0,UG/M3,1 Hr,Valid
65,Addis Ababa Central,PM2.5 - Principal,2018-01-07 03:00:00,2018,1,7,3,67.3,157,Unhealthy,60.0,UG/M3,1 Hr,Valid
66,Addis Ababa Central,PM2.5 - Principal,2018-01-07 04:00:00,2018,1,7,4,58.1,152,Unhealthy,49.0,UG/M3,1 Hr,Valid
67,Addis Ababa Central,PM2.5 - Principal,2018-01-07 05:00:00,2018,1,7,5,47.5,131,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
68,Addis Ababa Central,PM2.5 - Principal,2018-01-07 06:00:00,2018,1,7,6,36.2,103,Unhealthy for Sensitive Groups,25.0,UG/M3,1 Hr,Valid
69,Addis Ababa Central,PM2.5 - Principal,2018-01-07 07:00:00,2018,1,7,7,38.1,107,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
70,Addis Ababa Central,PM2.5 - Principal,2018-01-07 08:00:00,2018,1,7,8,61.0,154,Unhealthy,84.0,UG/M3,1 Hr,Valid
71,Addis Ababa Central,PM2.5 - Principal,2018-01-07 09:00:00,2018,1,7,9,72.0,160,Unhealthy,83.0,UG/M3,1 Hr,Valid
72,Addis Ababa Central,PM2.5 - Principal,2018-01-07 10:00:00,2018,1,7,10,85.5,166,Unhealthy,99.0,UG/M3,1 Hr,Valid
73,Addis Ababa Central,PM2.5 - Principal,2018-01-07 11:00:00,2018,1,7,11,64.2,155,Unhealthy,43.0,UG/M3,1 Hr,Valid
74,Addis Ababa Central,PM2.5 - Principal,2018-01-07 12:00:00,2018,1,7,12,45.1,125,Unhealthy for Sensitive Groups,26.0,UG/M3,1 Hr,Valid
75,Addis Ababa Central,PM2.5 - Principal,2018-01-07 13:00:00,2018,1,7,13,35.0,99,Moderate,25.0,UG/M3,1 Hr,Valid
76,Addis Ababa Central,PM2.5 - Principal,2018-01-07 14:00:00,2018,1,7,14,31.0,91,Moderate,27.0,UG/M3,1 Hr,Valid
77,Addis Ababa Central,PM2.5 - Principal,2018-01-07 15:00:00,2018,1,7,15,26.5,81,Moderate,22.0,UG/M3,1 Hr,Valid
78,Addis Ababa Central,PM2.5 - Principal,2018-01-07 16:00:00,2018,1,7,16,25.2,79,Moderate,24.0,UG/M3,1 Hr,Valid
79,Addis Ababa Central,PM2.5 - Principal,2018-01-07 17:00:00,2018,1,7,17,24.6,77,Moderate,24.0,UG/M3,1 Hr,Valid
80,Addis Ababa Central,PM2.5 - Principal,2018-01-07 18:00:00,2018,1,7,18,23.8,76,Moderate,23.0,UG/M3,1 Hr,Valid
81,Addis Ababa Central,PM2.5 - Principal,2018-01-07 19:00:00,2018,1,7,19,23.4,75,Moderate,23.0,UG/M3,1 Hr,Valid
82,Addis Ababa Central,PM2.5 - Principal,2018-01-07 20:00:00,2018,1,7,20,26.1,80,Moderate,29.0,UG/M3,1 Hr,Valid
83,Addis Ababa Central,PM2.5 - Principal,2018-01-07 21:00:00,2018,1,7,21,30.0,89,Moderate,34.0,UG/M3,1 Hr,Valid
84,Addis Ababa Central,PM2.5 - Principal,2018-01-07 22:00:00,2018,1,7,22,27.0,82,Moderate,24.0,UG/M3,1 Hr,Valid
85,Addis Ababa Central,PM2.5 - Principal,2018-01-07 23:00:00,2018,1,7,23,26.5,81,Moderate,26.0,UG/M3,1 Hr,Valid
86,Addis Ababa Central,PM2.5 - Principal,2018-01-08 00:00:00,2018,1,8,0,25.3,79,Moderate,23.0,UG/M3,1 Hr,Valid
87,Addis Ababa Central,PM2.5 - Principal,2018-01-08 01:00:00,2018,1,8,1,24.4,77,Moderate,23.0,UG/M3,1 Hr,Valid
88,Addis Ababa Central,PM2.5 - Principal,2018-01-08 02:00:00,2018,1,8,2,20.4,68,Moderate,17.0,UG/M3,1 Hr,Valid
89,Addis Ababa Central,PM2.5 - Principal,2018-01-08 03:00:00,2018,1,8,3,20.7,69,Moderate,21.0,UG/M3,1 Hr,Valid
90,Addis Ababa Central,PM2.5 - Principal,2018-01-08 04:00:00,2018,1,8,4,20.8,69,Moderate,21.0,UG/M3,1 Hr,Valid
91,Addis Ababa Central,PM2.5 - Principal,2018-01-08 05:00:00,2018,1,8,5,19.4,66,Moderate,18.0,UG/M3,1 Hr,Valid
92,Addis Ababa Central,PM2.5 - Principal,2018-01-08 06:00:00,2018,1,8,6,22.2,72,Moderate,25.0,UG/M3,1 Hr,Valid
93,Addis Ababa Central,PM2.5 - Principal,2018-01-08 07:00:00,2018,1,8,7,22.1,72,Moderate,22.0,UG/M3,1 Hr,Valid
94,Addis Ababa Central,PM2.5 - Principal,2018-01-08 08:00:00,2018,1,8,8,28.5,85,Moderate,35.0,UG/M3,1 Hr,Valid
95,Addis Ababa Central,PM2.5 - Principal,2018-01-08 09:00:00,2018,1,8,9,31.2,91,Moderate,34.0,UG/M3,1 Hr,Valid
96,Addis Ababa Central,PM2.5 - Principal,2018-01-08 10:00:00,2018,1,8,10,31.6,92,Moderate,32.0,UG/M3,1 Hr,Valid
97,Addis Ababa Central,PM2.5 - Principal,2018-01-08 11:00:00,2018,1,8,11,29.3,87,Moderate,27.0,UG/M3,1 Hr,Valid
98,Addis Ababa Central,PM2.5 - Principal,2018-01-08 12:00:00,2018,1,8,12,27.6,84,Moderate,26.0,UG/M3,1 Hr,Valid
99,Addis Ababa Central,PM2.5 - Principal,2018-01-08 13:00:00,2018,1,8,13,27.3,83,Moderate,27.0,UG/M3,1 Hr,Valid
100,Addis Ababa Central,PM2.5 - Principal,2018-01-08 14:00:00,2018,1,8,14,27.1,83,Moderate,27.0,UG/M3,1 Hr,Valid
101,Addis Ababa Central,PM2.5 - Principal,2018-01-08 15:00:00,2018,1,8,15,26.6,81,Moderate,26.0,UG/M3,1 Hr,Valid
102,Addis Ababa Central,PM2.5 - Principal,2018-01-08 16:00:00,2018,1,8,16,24.8,78,Moderate,23.0,UG/M3,1 Hr,Valid
103,Addis Ababa Central,PM2.5 - Principal,2018-01-08 17:00:00,2018,1,8,17,24.1,76,Moderate,22.0,UG/M3,1 Hr,Valid
104,Addis Ababa Central,PM2.5 - Principal,2018-01-08 18:00:00,2018,1,8,18,23.3,75,Moderate,22.0,UG/M3,1 Hr,Valid
105,Addis Ababa Central,PM2.5 - Principal,2018-01-08 19:00:00,2018,1,8,19,23.9,76,Moderate,25.0,UG/M3,1 Hr,Valid
106,Addis Ababa Central,PM2.5 - Principal,2018-01-08 20:00:00,2018,1,8,20,24.7,77,Moderate,26.0,UG/M3,1 Hr,Valid
107,Addis Ababa Central,PM2.5 - Principal,2018-01-08 21:00:00,2018,1,8,21,24.1,76,Moderate,23.0,UG/M3,1 Hr,Valid
108,Addis Ababa Central,PM2.5 - Principal,2018-01-08 22:00:00,2018,1,8,22,23.4,75,Moderate,21.0,UG/M3,1 Hr,Valid
109,Addis Ababa Central,PM2.5 - Principal,2018-01-08 23:00:00,2018,1,8,23,21.3,70,Moderate,18.0,UG/M3,1 Hr,Valid
110,Addis Ababa Central,PM2.5 - Principal,2018-01-09 00:00:00,2018,1,9,0,20.2,68,Moderate,18.0,UG/M3,1 Hr,Valid
111,Addis Ababa Central,PM2.5 - Principal,2018-01-09 01:00:00,2018,1,9,1,19.4,66,Moderate,18.0,UG/M3,1 Hr,Valid
112,Addis Ababa Central,PM2.5 - Principal,2018-01-09 02:00:00,2018,1,9,2,20.3,68,Moderate,22.0,UG/M3,1 Hr,Valid
113,Addis Ababa Central,PM2.5 - Principal,2018-01-09 03:00:00,2018,1,9,3,21.1,70,Moderate,23.0,UG/M3,1 Hr,Valid
114,Addis Ababa Central,PM2.5 - Principal,2018-01-09 04:00:00,2018,1,9,4,20.1,68,Moderate,18.0,UG/M3,1 Hr,Valid
115,Addis Ababa Central,PM2.5 - Principal,2018-01-09 05:00:00,2018,1,9,5,20.1,68,Moderate,20.0,UG/M3,1 Hr,Valid
116,Addis Ababa Central,PM2.5 - Principal,2018-01-09 06:00:00,2018,1,9,6,21.3,70,Moderate,24.0,UG/M3,1 Hr,Valid
117,Addis Ababa Central,PM2.5 - Principal,2018-01-09 07:00:00,2018,1,9,7,23.2,74,Moderate,27.0,UG/M3,1 Hr,Valid
118,Addis Ababa Central,PM2.5 - Principal,2018-01-09 08:00:00,2018,1,9,8,33.2,95,Moderate,42.0,UG/M3,1 Hr,Valid
119,Addis Ababa Central,PM2.5 - Principal,2018-01-09 09:00:00,2018,1,9,9,47.6,131,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid
120,Addis Ababa Central,PM2.5 - Principal,2018-01-09 10:00:00,2018,1,9,10,45.3,125,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
121,Addis Ababa Central,PM2.5 - Principal,2018-01-09 11:00:00,2018,1,9,11,40.6,114,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
122,Addis Ababa Central,PM2.5 - Principal,2018-01-09 12:00:00,2018,1,9,12,37.3,105,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
123,Addis Ababa Central,PM2.5 - Principal,2018-01-09 13:00:00,2018,1,9,13,37.6,106,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
124,Addis Ababa Central,PM2.5 - Principal,2018-01-09 14:00:00,2018,1,9,14,37.8,107,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
125,Addis Ababa Central,PM2.5 - Principal,2018-01-09 15:00:00,2018,1,9,15,37.4,106,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
126,Addis Ababa Central,PM2.5 - Principal,2018-01-09 16:00:00,2018,1,9,16,39.2,110,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
127,Addis Ababa Central,PM2.5 - Principal,2018-01-09 17:00:00,2018,1,9,17,38.6,109,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
128,Addis Ababa Central,PM2.5 - Principal,2018-01-09 18:00:00,2018,1,9,18,36.3,103,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
129,Addis Ababa Central,PM2.5 - Principal,2018-01-09 19:00:00,2018,1,9,19,38.5,108,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
130,Addis Ababa Central,PM2.5 - Principal,2018-01-09 20:00:00,2018,1,9,20,34.8,99,Moderate,31.0,UG/M3,1 Hr,Valid
131,Addis Ababa Central,PM2.5 - Principal,2018-01-09 21:00:00,2018,1,9,21,33.6,96,Moderate,29.0,UG/M3,1 Hr,Valid
132,Addis Ababa Central,PM2.5 - Principal,2018-01-09 22:00:00,2018,1,9,22,34.8,99,Moderate,37.0,UG/M3,1 Hr,Valid
133,Addis Ababa Central,PM2.5 - Principal,2018-01-09 23:00:00,2018,1,9,23,42.8,119,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
134,Addis Ababa Central,PM2.5 - Principal,2018-01-10 00:00:00,2018,1,10,0,41.5,116,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
135,Addis Ababa Central,PM2.5 - Principal,2018-01-10 01:00:00,2018,1,10,1,40.4,113,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
136,Addis Ababa Central,PM2.5 - Principal,2018-01-10 02:00:00,2018,1,10,2,37.5,106,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
137,Addis Ababa Central,PM2.5 - Principal,2018-01-10 03:00:00,2018,1,10,3,31.1,91,Moderate,25.0,UG/M3,1 Hr,Valid
138,Addis Ababa Central,PM2.5 - Principal,2018-01-10 04:00:00,2018,1,10,4,27.0,82,Moderate,23.0,UG/M3,1 Hr,Valid
139,Addis Ababa Central,PM2.5 - Principal,2018-01-10 05:00:00,2018,1,10,5,25.5,79,Moderate,24.0,UG/M3,1 Hr,Valid
140,Addis Ababa Central,PM2.5 - Principal,2018-01-10 06:00:00,2018,1,10,6,29.7,88,Moderate,34.0,UG/M3,1 Hr,Valid
141,Addis Ababa Central,PM2.5 - Principal,2018-01-10 07:00:00,2018,1,10,7,36.8,104,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
142,Addis Ababa Central,PM2.5 - Principal,2018-01-10 08:00:00,2018,1,10,8,43.4,120,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
143,Addis Ababa Central,PM2.5 - Principal,2018-01-10 09:00:00,2018,1,10,9,46.2,127,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
144,Addis Ababa Central,PM2.5 - Principal,2018-01-10 10:00:00,2018,1,10,10,48.1,132,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
145,Addis Ababa Central,PM2.5 - Principal,2018-01-10 11:00:00,2018,1,10,11,47.0,129,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
146,Addis Ababa Central,PM2.5 - Principal,2018-01-10 12:00:00,2018,1,10,12,45.5,126,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
147,Addis Ababa Central,PM2.5 - Principal,2018-01-10 13:00:00,2018,1,10,13,42.2,117,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
148,Addis Ababa Central,PM2.5 - Principal,2018-01-10 14:00:00,2018,1,10,14,38.1,107,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
149,Addis Ababa Central,PM2.5 - Principal,2018-01-10 15:00:00,2018,1,10,15,36.0,102,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
150,Addis Ababa Central,PM2.5 - Principal,2018-01-10 16:00:00,2018,1,10,16,35.5,101,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
151,Addis Ababa Central,PM2.5 - Principal,2018-01-10 17:00:00,2018,1,10,17,38.8,109,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
152,Addis Ababa Central,PM2.5 - Principal,2018-01-10 18:00:00,2018,1,10,18,37.5,106,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
153,Addis Ababa Central,PM2.5 - Principal,2018-01-10 19:00:00,2018,1,10,19,38.9,109,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
154,Addis Ababa Central,PM2.5 - Principal,2018-01-10 20:00:00,2018,1,10,20,38.9,109,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
155,Addis Ababa Central,PM2.5 - Principal,2018-01-10 21:00:00,2018,1,10,21,46.3,128,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
156,Addis Ababa Central,PM2.5 - Principal,2018-01-10 22:00:00,2018,1,10,22,46.1,127,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
157,Addis Ababa Central,PM2.5 - Principal,2018-01-10 23:00:00,2018,1,10,23,52.3,142,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
158,Addis Ababa Central,PM2.5 - Principal,2018-01-11 00:00:00,2018,1,11,0,50.0,137,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
159,Addis Ababa Central,PM2.5 - Principal,2018-01-11 01:00:00,2018,1,11,1,47.4,130,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
160,Addis Ababa Central,PM2.5 - Principal,2018-01-11 02:00:00,2018,1,11,2,41.6,116,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
161,Addis Ababa Central,PM2.5 - Principal,2018-01-11 03:00:00,2018,1,11,3,38.7,109,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
162,Addis Ababa Central,PM2.5 - Principal,2018-01-11 04:00:00,2018,1,11,4,36.0,102,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
163,Addis Ababa Central,PM2.5 - Principal,2018-01-11 05:00:00,2018,1,11,5,34.0,97,Moderate,32.0,UG/M3,1 Hr,Valid
164,Addis Ababa Central,PM2.5 - Principal,2018-01-11 06:00:00,2018,1,11,6,28.3,85,Moderate,23.0,UG/M3,1 Hr,Valid
165,Addis Ababa Central,PM2.5 - Principal,2018-01-11 07:00:00,2018,1,11,7,29.1,87,Moderate,30.0,UG/M3,1 Hr,Valid
166,Addis Ababa Central,PM2.5 - Principal,2018-01-11 08:00:00,2018,1,11,8,30.5,90,Moderate,32.0,UG/M3,1 Hr,Valid
167,Addis Ababa Central,PM2.5 - Principal,2018-01-11 09:00:00,2018,1,11,9,37.7,106,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
168,Addis Ababa Central,PM2.5 - Principal,2018-01-11 10:00:00,2018,1,11,10,39.8,112,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
169,Addis Ababa Central,PM2.5 - Principal,2018-01-11 11:00:00,2018,1,11,11,42.9,119,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
170,Addis Ababa Central,PM2.5 - Principal,2018-01-11 12:00:00,2018,1,11,12,39.9,112,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
171,Addis Ababa Central,PM2.5 - Principal,2018-01-11 13:00:00,2018,1,11,13,34.9,99,Moderate,30.0,UG/M3,1 Hr,Valid
172,Addis Ababa Central,PM2.5 - Principal,2018-01-11 14:00:00,2018,1,11,14,31.9,93,Moderate,29.0,UG/M3,1 Hr,Valid
173,Addis Ababa Central,PM2.5 - Principal,2018-01-11 15:00:00,2018,1,11,15,29.4,87,Moderate,27.0,UG/M3,1 Hr,Valid
